,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
43,https://www.musinsa.com/app/styles/views/30038?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=date&page=1,not shown,0,0,0,not shown,not shown,0,0,not shown,0,not shown,not shown,not shown,0,0
44,https://www.musinsa.com/app/styles/views/30037?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=date&page=1,grey,0,0,0,not shown,not shown,0,0,navy,0,not shown,not shown,not shown,0,0
45,https://www.musinsa.com/app/styles/views/30036?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=date&page=1,not shown,not shown,not shown,0,0,0,0,0,beige,0,not shown,not shown,not shown,not shown,0
46,https://www.musinsa.com/app/styles/views/30035?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=date&page=1,not shown,not shown,0,0,not shown,0,0,0,not shown,0,not shown,not shown,not shown,0,0
47,https://www.musinsa.com/app/styles/views/30034?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=date&page=1,not shown,0,0,0,not shown,0,0,0,not shown,0,not shown,not shown,not shown,not shown,0
48,https://www.musinsa.com/app/styles/views/30033?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=date&page=1,not shown,0,0,0,not shown,0,0,0,not shown,0,not shown,not shown,not shown,grey,0
49,https://www.musinsa.com/app/styles/views/30032?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=date&page=1,not shown,not shown,0,0,not shown,0,0,0,grey,0,not shown,not shown,grey,0,0
50,https://www.musinsa.com/app/styles/views/30031?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=date&page=1,not shown,not shown,0,0,0,0,0,0,0,0,not shown,not shown,not shown,grey,0
51,https://www.musinsa.com/app/styles/views/30030?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=date&page=1,not shown,0,0,0,not shown,0,0,0,0,0,not shown,not shown,not shown,not shown,0
52,https://www.musinsa.com/app/styles/views/30029?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=date&page=1,navy,0,0,0,not shown,not shown,0,0,not shown,0,not shown,not shown,not shown,not shown,not shown
